timestamp,altitude,engine1_rpm,engine2_rpm,engine1_temp_C,engine2_temp_C,vibration_mm_s,fuel_flow_kg_h,oil_pressure_psi,heading_deg,hydraulic_pressure_psi,electrical_load_amp,cabin_pressure_ft,angle_of_attack_deg,flaps_deg,spoiler_percent
2025-09-01 10:00:00,0.0,9500.0,9652.0,759.1,760.7,1.03,3800.0,60.2,90.0,3137.0,197.0,0.0,8.96,15.0,0.0
2025-09-01 10:00:01,25.4,9451.0,9464.0,759.3,769.7,1.08,3807.0,62.2,90.01,2943.0,187.0,0.0,9.41,14.9,0.0
2025-09-01 10:00:02,50.8,9564.0,9603.0,768.8,760.1,1.28,3814.0,62.9,89.99,2915.0,212.0,0.0,9.06,14.8,0.0
2025-09-01 10:00:03,76.3,9406.0,9556.0,760.4,765.9,0.81,3820.0,61.2,89.97,3101.0,216.0,0.0,8.79,14.7,0.0
2025-09-01 10:00:04,101.7,9398.0,9552.0,757.5,759.9,1.26,3827.0,59.7,89.96,3079.0,196.0,1.0,9.58,14.7,0.0
2025-09-01 10:00:05,127.1,9695.0,9645.0,759.4,763.8,1.01,3834.0,61.1,89.98,2989.0,194.0,1.0,9.39,14.6,0.0
2025-09-01 10:00:06,152.5,9674.0,9588.0,766.0,761.7,1.41,3841.0,62.0,89.98,3023.0,211.0,1.0,9.29,14.5,0.0
2025-09-01 10:00:07,178.0,9535.0,9416.0,768.1,766.4,1.34,3847.0,57.0,89.99,3024.0,212.0,2.0,9.28,14.4,0.0
2025-09-01 10:00:08,203.4,9635.0,9401.0,763.7,766.6,1.3,3854.0,62.2,89.98,3008.0,189.0,2.0,9.62,14.3,0.0
2025-09-01 10:00:09,228.8,9734.0,9764.0,769.3,766.3,0.8,3861.0,59.2,89.97,2922.0,199.0,2.0,9.35,14.2,0.0
2025-09-01 10:00:10,254.2,9703.0,9778.0,768.6,770.5,1.17,3868.0,59.2,89.97,2851.0,199.0,3.0,9.74,14.2,0.0
2025-09-01 10:00:11,279.7,9698.0,9847.0,767.0,767.0,0.91,3875.0,59.5,89.97,2949.0,192.0,4.0,9.67,14.1,0.0
2025-09-01 10:00:12,305.1,9791.0,9712.0,767.5,770.0,1.19,3881.0,60.5,89.98,3109.0,204.0,4.0,9.66,14.0,0.0
